id,name,qualifier,sort_order,indicator_type,rate_per,formatter,category_id
1,Population,,1,ban,,,
2,Approximate square miles,,2,ban,,,
3,People per square miles,,3,ban,,,
4,Number of housing units,,1,ban,,,0
5,Distribution of occupancy,,2,donut,,,0
6,Renter-occupied or owner-occupied by race,,3,column,,,0
7,Percent of families with related children under 18,,1,ban,,,1
8,Percent of households with children under 18,,2,ban,,,1
9,Own Children Under 18 Years by Family Type,,3,donut,,,1
10,Total number of vacant housing units,,1,ban,,,2
11,Percent of housing units vacant,,2,ban,,,2
12,Total number of demolitions,,3,ban,,,2
13,Median demolition cost,,4,ban,,,2
14,Distribution of demolitions by company contracted for demolition,,5,column,,,2
15,Demolitions by month,,6,column,,,2
16,Total number of building permits,,1,ban,,,3
17,Median estimated permit cost,,2,ban,,,3
18,Distribution of building permit types,,3,column,,,3
19,Total tax foreclosures,,1,ban,,,4
20,Number of evictions filed,,1,ban,,,5
21,Number of cases by type,,2,column,,,5
22,Cases filed where the landlord has a certificate of compliance,,3,ban,,,5
23,Percent of cases with legal representation for tenants,,4,donut,,,5
24,Percent of cases with legal representation for landlords,,5,donut,,,5
25,Percent of judgements that are default by month,,1,column,,,6
26,Total number of transactions,,1,ban,,,7
27,Percentage of property sales by type of deed,,2,column,,,7
28,Percentage of property sales by month,,3,column,,,7
29,Percentage of property sales by price,,4,column,,,7
30,Number of probable rental units,,1,ban,,,8
31,Percent of units that are probably rentals,,2,donut,,,8
32,Percent of rental parcels owned by a corporate owner,,3,donut,,,8
33,Percent of rental parcels transacted in the last three years,,4,donut,,,8
34,Percent of rental parcel owners by owner location,,5,donut,,,8
35,Share of parcels by owner landlord type,,1,column,,,9
36,Count of probable rental parcels with lead clearance certificates,,2,donut,,,9
37,Number of sewer backups,,1,ban,,,10
38,Area Covered by tree canopy,,2,donut,,,10
39,Percent land area near toxic hazards,,3,donut,,,10
40,Land area covered by impervious surfaces,,4,donut,,,10
41,Daily Average PM2.5 concentration,,5,ban,,,10
42,Residents 65 or older living alone,,1,donut,,,11
43,Households without internet access,,2,donut,,,11
44,Percent of land area proximity to Climate Adaptive Amenities,,1,donut,,,12
45,Land area covered by CDO or GRO service areas,,2,donut,,,12
46,Walkability Score,,3,ban,,,12
47,Distribution of occupancy by tenure status,,1,donut,,,13
48,Distribution of rental unit size,,2,donut,,,13
49,Distribution of rents,,1,column,,,14
50,Distribution of owner-occupied housing value,,2,column,,,14
51,Housing burden by tenure,,1,column,,,15
52,Total properties,,1,ban,,,16
53,Distribution of properties by PRE status,,2,column,,,16
54,Mean taxable value over $0,,3,ban,,,16
55,Median taxable value over $0,,4,ban,,,16
56,Distribution of properties by taxable value,,5,column,,,16
57,Distribution of properties by taxable status,,6,column,,,16
58,Total properties owned by the DLBA,,1,ban,,,17
59,Total DLBA sales,,2,ban,,,17
60,Distribution of DLBA sales by type,,3,donut,,,17
61,Distribution of DLBA auction sale prices,,4,column,,,17
62,Distribution of DLBA sales to community partners by property classes,,5,column,,,17
63,Distribution of bedrooms per unit,,1,donut,,,18
64,Utilities included in rent,,2,donut,,,18
65,Owner-occupied housing units with substandard housing conditions,,3,donut,,,18
66,Renter-occupied housing units with substandard housing conditions,,4,donut,,,18
67,Total number of blight tickets,,1,ban,,,19
68,Blight violations by department,,2,donut,,,19
69,Distribution of month violation issued,,3,column,,,19
70,Blight violations by type,,4,donut,,,19
71,Number of households,,1,ban,,,20
72,Persons per household,,2,ban,,,20
73,Population by household type,,3,donut,,,20
74,Number of children under 18 (2018-2021),,1,ban,,,21
75,Distribution of youth by sex,,2,donut,,,21
76,Distribution of youth by age,,3,donut,,,21
77,Per capita income (2018-2021),,1,ban,,,22
78,Median household income (2018-2021),,2,ban,,,22
79,Household income,,3,column,,,22
80,Persons below poverty line (2018-2021),,1,ban,,,23
81,Family poverty rate by educational attainment of householder,,2,column,,,23
82,Mean number of vehicles available,,1,ban,,,24
83,"Vehicles available to workers, 16 years and over",,2,column,,,24
84,Total registered voters,,1,ban,,,25
85,Total population 18 years and older,,2,ban,,,25
86,Distribution of registered voters by age group,,3,column,,,25
87,Number of children 5 to 9 years enrolled in school,,1,ban,,,26
88,Number of children 5 to 9 years not enrolled in school,,2,ban,,,26
89,School enrollment for 5 to 9 year olds by school type and sex,,3,column,,,26
90,Graduation Rate,,1,ban and donut,,,27
91,Number of licensed child care facilities,,1,ban,,,28
92,Licensed child care facilities by type,,2,column,,,28
93,Free child care programs by type,,3,column,,,28
94,Total capacity of licensed child care facilities,,4,column,,,28
95,Percent of total capacity in free child care programs,,5,ban,,,28
