id,start_date,end_date,data_visual_type,location_comparison_type,columns,color_scale_id,indicator_id,source_id,
1,2019-01-01,2023-12-31,ban,location_type_parents,,,1,1,
2,2019-01-01,2023-12-31,ban,location_type_parents,,,2,1,
3,2019-01-01,2023-12-31,ban,location_type_parents,,,3,1,
4,2019-01-01,2023-12-31,ban,location_type_parents,,,4,1,
5,2019-01-01,2023-12-31,donut,location_type_parents,,,5,1,
6,2019-01-01,2023-12-31,column,location_type_parents,,,6,1,
7,2019-01-01,2023-12-31,ban,location_type_parents,,,7,1,
8,2019-01-01,2023-12-31,ban,location_type_parents,,,8,1,
9,2019-01-01,2023-12-31,donut,location_type_parents,,,9,1,
10,2023-01-01,2023-12-31,ban,none,,,10,2,
11,2023-01-01,2023-12-31,ban,none,,,11,2,
12,2023-01-01,2023-12-31,ban,none,,,12,3,
13,2023-01-01,2023-12-31,ban,none,,,13,3,
14,2023-01-01,2023-12-31,column,none,,,14,3,
15,2023-01-01,2023-12-31,column,none,,,15,3,
16,2023-01-01,2023-12-31,ban,none,,,16,4,
17,2023-01-01,2023-12-31,ban,none,,,17,4,
18,2023-01-01,2023-12-31,column,none,,,18,4,
19,2023-01-01,2023-12-31,ban,none,,,19,5,
20,2023-01-01,2023-12-31,ban,none,,,20,6,
21,2023-01-01,2023-12-31,column,none,,,21,6,
22,2023-01-01,2023-12-31,ban,none,,,22,6,
23,2023-01-01,2023-12-31,donut,none,,,23,6,
24,2023-01-01,2023-12-31,donut,none,,,24,6,
25,2023-01-01,2023-12-31,column,none,,,25,6,
26,2023-01-01,2023-12-31,ban,none,,,26,7,
27,2023-01-01,2023-12-31,column,none,,,27,7,
28,2023-01-01,2023-12-31,column,none,,,28,7,
29,2023-01-01,2023-12-31,column,none,,,29,7,
30,2023-01-01,2023-12-31,ban,none,,,30,16,
31,2023-01-01,2023-12-31,donut,none,,,31,16,
32,2023-01-01,2023-12-31,donut,none,,,32,16,
33,2023-01-01,2023-12-31,donut,none,,,33,16,
34,2023-01-01,2023-12-31,donut,none,,,34,16,
35,2023-01-01,2023-12-31,column,none,,,35,16,
36,2023-01-01,2023-12-31,donut,none,,,36,16,
37,2023-01-01,2023-12-31,ban,none,,,37,8,
38,2023-01-01,2023-12-31,donut,none,,,38,10,
39,2023-01-01,2023-12-31,donut,none,,,39,9,
40,2023-01-01,2023-12-31,donut,none,,,40,10,
41,2023-01-01,2023-12-31,ban,none,,,41,9,
42,2019-01-01,2023-12-31,donut,location_type_parents,,,42,1,
43,2019-01-01,2023-12-31,donut,location_type_parents,,,43,1,
44,2023-01-01,2023-12-31,donut,none,,,44,10,
45,2023-01-01,2023-12-31,donut,none,,,45,16,
46,2023-01-01,2023-12-31,ban,none,,,46,10,
47,2019-01-01,2023-12-31,donut,location_type_parents,,,47,1,
48,2019-01-01,2023-12-31,donut,location_type_parents,,,48,1,
49,2019-01-01,2023-12-31,column,location_type_parents,,,49,1,
50,2019-01-01,2023-12-31,column,location_type_parents,,,50,1,
51,2019-01-01,2023-12-31,column,location_type_parents,,,51,1,
52,2023-01-01,2023-12-31,ban,none,,,52,14,
53,2023-01-01,2023-12-31,column,none,,,53,14,
54,2023-01-01,2023-12-31,ban,none,,,54,14,
55,2023-01-01,2023-12-31,ban,none,,,55,14,
56,2023-01-01,2023-12-31,column,none,,,56,14,
57,2023-01-01,2023-12-31,column,none,,,57,14,
58,2023-01-01,2023-12-31,ban,none,,,58,3,
59,2023-01-01,2023-12-31,ban,none,,,59,3,
60,2023-01-01,2023-12-31,donut,none,,,60,3,
61,2023-01-01,2023-12-31,column,none,,,61,3,
62,2023-01-01,2023-12-31,column,none,,,62,3,
63,2019-01-01,2023-12-31,donut,location_type_parents,,,63,1,
64,2019-01-01,2023-12-31,donut,location_type_parents,,,64,1,
65,2019-01-01,2023-12-31,donut,location_type_parents,,,65,1,
66,2019-01-01,2023-12-31,donut,location_type_parents,,,66,1,
67,2023-01-01,2023-12-31,ban,none,,,67,15,
68,2023-01-01,2023-12-31,donut,none,,,68,15,
69,2023-01-01,2023-12-31,column,none,,,69,15,
70,2023-01-01,2023-12-31,donut,none,,,70,15,
71,2019-01-01,2023-12-31,ban,location_type_parents,,,71,1,
72,2019-01-01,2023-12-31,ban,location_type_parents,,,72,1,
73,2019-01-01,2023-12-31,donut,location_type_parents,,,73,1,
74,2019-01-01,2023-12-31,ban,location_type_parents,,,74,1,
75,2019-01-01,2023-12-31,donut,location_type_parents,,,75,1,
76,2019-01-01,2023-12-31,donut,location_type_parents,,,76,1,
