id,name,sort_order,indicator_filter_type_id
1,Total population 18 years and older,,
2,Number of children under 18,,
3,Male,1,44
4,Female,2,44
5,Under 5,1,45
6,5 to 9,2,45
7,10 to 14,3,45
8,15 to 17,4,45
9,Per capita income,,
10,Median household income,,
11,Under $50K,1,46
12,$50K - $100K,2,46
13,$100K - $200K,3,46
14,Over $200K,4,46
15,Persons below poverty line,,
16,Children (Under 18) below poverty line,,
17,Non-poverty,,
18,Poverty,,
19,Non-poverty,,
20,Under 5,,
21,5,,
22,11-Jun,,
23,14-Dec,,
24,15,,
25,16-17,,
26,Married couples,1,47
27,Less than high school graduate,1,47
28,High school graduate (includes equivalency),2,47
29,"Some college, associate's degree",3,47
30,Bachelor's degree or higher,4,47
31,"Male householder, no wife present",2,47
32,Less than high school graduate,1,47
33,High school graduate (includes equivalency),2,47
34,"Some college, associate's degree",3,47
35,Bachelor's degree or higher,4,47
36,"Female householder, no husband present",3,47
37,Less than high school graduate,1,47
38,High school graduate (includes equivalency),2,47
39,"Some college, associate's degree",3,47
40,Bachelor's degree or higher,4,47
41,Mean number of vehicles available,1,48
42,No vehicle available,2,48
43,1 vehicle available,3,48
44,2 vehicles available,4,48
45,3 vehicles available,5,48
46,4 vehicles available,6,48
47,5+ vehicles available,7,48
48,Married couple,1,3
49,Male householder,2,3
50,Female householder,3,3
51,Percent of families with related children under 18,,
52,Percent of households with children under 18,,
53,Number of households,,
54,Persons per household,,
55,Married couples,1,43
56,Male householder,2,43
57,Female householder,3,43
58,Non-family,4,43
59,Number of housing units,,
60,Owner Occupied,1,1
61,Renter Occupied,2,1
62,American Indian or Alaska Native,1,2
63,Owner,1,2
64,Renter,2,2
65,Asian,2,2
66,Owner,1,2
67,Renter,2,2
68,Black,3,2
69,Owner,1,2
70,Renter,2,2
71,Native Hawaiian / Pacific Islander,4,2
72,Owner,1,2
73,Renter,2,2
74,Some other race,5,2
75,Owner,1,2
76,Renter,2,2
77,Two or more races,6,2
78,Owner,1,2
79,Renter,2,2
80,Hispanic or latino,7,2
81,Owner,1,2
82,Renter,2,2
83,White,8,2
84,Owner,1,2
85,Renter,2,2
86,Not mortgaged,1,25
87,With a mortgage,2,25
88,No cash rent,3,25
89,With cash rent,4,25
90,No bedrooms,1,26
91,One bedroom,2,16
92,Two bedrooms,3,26
93,Three bedrooms,4,26
94,Rent Less than $200,1,27
95,Rent $200 to $299,2,27
96,Rent $300 to $499,3,27
97,Rent $500 to $749,4,27
98,Rent $750 to $999,5,27
99,"Rent $1,000 or More",6,27
