id,name
1,American Community Survey 5-year (2023)
2,Vericast VNEF Plus Database; Data Driven Detroit
3,Detroit Land Bank Authority
4,Detroit Buildings, Safety Engineering and Environmental Department
5,Wayne County Treasurer
6,36th District Court; Data Driven Detroit
7,Wayne County Register of Deeds
8,Detroit Water and Sewerage Department
9,Ozone and PM2.5 Layer; University of Michigan; EPA
10,Smart Location Mapping; EPA
11,State of Michigan Qualified Voter File
12,D3 Open Data Portal; Michigan Center for Educational Performance
13,D3 Open Data Portal; Great Start to Quality
14,Detroit Assessor's Office
15,Detroit Department of Administrative Hearings
16,Data Driven Detroit
